t.retweet_count,t.textbody,u.screen_name,u.category,u.sub_category
84403,"""Happy #CincoDeMayo! The best taco bowls are made in Trump Tower Grill. I love Hispanics! https://t.co/ufoTeQd8yA https://t.co/k01Mc6CuDI""","""realDonaldTrump""","""presidential_candidate""","""GOP"""
75555,"""RT @ow: please enjoy this fox confused why sheets isn t snow https://t.co/eUtoS8H5sQ""","""jessiehellmann""","""reporter""","""na"""
44461,"""America s first black president cannot and will not be succeeded by a hatemonger who refuses to condemn the KKK.""","""BernieSanders""","""presidential_candidate""","""democrat"""
44461,"""RT @BernieSanders: America s first black president cannot and will not be succeeded by a hatemonger who refuses to condemn the KKK.""","""HillaryClinton""","""presidential_candidate""","""democrat"""
44456,"""RT @BernieSanders: America s first black president cannot and will not be succeeded by a hatemonger who refuses to condemn the KKK.""","""RepMarkCardenas""","""House_representative""","""democrat"""
41898,"""Together. https://t.co/I8ca8foKTP""","""BernieSanders""","""presidential_candidate""","""democrat"""
35055,"""RT @POTUS: From my family to yours, Happy Easter, and we wish everyone celebrating a blessed and joyful day. https://t.co/fNvcihSmYB""","""FlaDems""","""senate_group""","""democrat"""
35054,"""RT @POTUS: From my family to yours, Happy Easter, and we wish everyone celebrating a blessed and joyful day. https://t.co/fNvcihSmYB""","""NebraskaDems""","""senate_group""","""democrat"""
34951,"""RT @neiltyson: Who would Jesus vote for? To him walls, wealth, &amp; torture are non-starters, so probably the Jewish New Yorker from Vermont.""","""BernieSanders""","""presidential_candidate""","""democrat"""
28482,"""RT @genesimmons: This is false. https://t.co/OnZNsh6Ydn""","""BKcolin""","""reporter""","""na"""
